_index_reports,_index_players,Assists,Blocks,Minutes played,Points,Total rebounds,Steals
41,387,1.0,,,14.0,8.0,
41,554,,,,10.0,,
41,219,,,,12.0,,
42,364,,,,33.0,,
42,132,4.0,,,20.0,6.0,
42,459,12.0,,,22.0,,
42,331,,,,18.0,,
43,497,6.0,,,11.0,16.0,
43,281,8.0,,,22.0,6.0,
43,238,,,,,7.0,
43,58,,,,19.0,10.0,
43,125,,,,10.0,17.0,
43,547,5.0,,,24.0,,
44,491,,,,10.0,6.0,
44,49,8.0,1.0,,19.0,,1.0
44,300,,,,5.0,3.0,
44,336,6.0,,37.0,32.0,1.0,1.0
44,211,1.0,,,14.0,3.0,2.0
44,159,1.0,,21.0,17.0,,1.0
44,288,2.0,,,11.0,5.0,
44,389,2.0,,,13.0,3.0,2.0
44,3,5.0,,,17.0,3.0,1.0
44,397,1.0,,,17.0,3.0,
44,387,,,,,4.0,1.0
44,209,3.0,,,15.0,6.0,1.0
45,516,2.0,,,11.0,1.0,2.0
45,174,1.0,5.0,,23.0,14.0,
45,499,7.0,,,23.0,,
45,452,5.0,,,21.0,1.0,
45,410,4.0,,,16.0,7.0,
45,393,1.0,,,17.0,6.0,
45,168,,,,12.0,2.0,
45,153,12.0,1.0,,38.0,12.0,
45,170,2.0,,32.0,,2.0,1.0
46,96,,,,22.0,7.0,3.0
46,404,,,,13.0,17.0,
46,189,,,,15.0,6.0,
46,418,3.0,,,33.0,14.0,
46,382,5.0,,,22.0,4.0,
47,156,,1.0,32.0,14.0,7.0,2.0
47,24,,2.0,,15.0,9.0,
47,166,,,,20.0,,
47,331,13.0,,,5.0,,
47,418,,2.0,,24.0,12.0,
47,170,6.0,,,11.0,6.0,
47,538,,,,25.0,6.0,1.0
47,393,,,,11.0,7.0,
48,266,,,,,,
48,146,,,,,,
48,362,,,,,14.0,
48,206,,,,12.0,9.0,
49,358,,,,14.0,5.0,3.0
49,12,3.0,,,7.0,6.0,
49,110,2.0,1.0,,13.0,,
49,364,2.0,,,18.0,1.0,1.0
49,259,6.0,,,13.0,,1.0
49,339,2.0,1.0,,12.0,6.0,1.0
49,453,,,,12.0,3.0,
49,317,,,,9.0,9.0,3.0
49,393,1.0,1.0,,16.0,4.0,1.0
49,168,2.0,1.0,,9.0,5.0,
49,160,5.0,,,19.0,,2.0
49,153,8.0,,,40.0,6.0,
49,255,1.0,1.0,,14.0,4.0,
50,271,,,,10.0,,
50,362,,,,11.0,9.0,
50,242,2.0,,,21.0,3.0,1.0
50,357,,,,11.0,6.0,
50,333,,,,13.0,8.0,
50,137,,,,28.0,,
50,381,,,,36.0,,
50,64,,,,,8.0,
51,444,6.0,,,,,
52,64,,2.0,,14.0,10.0,
52,370,,1.0,,15.0,8.0,1.0
52,381,6.0,,,22.0,5.0,2.0
52,137,5.0,,,16.0,5.0,
52,19,,,,11.0,,
52,447,,1.0,,17.0,6.0,1.0
52,443,1.0,1.0,,31.0,9.0,
52,471,,,,,5.0,
52,273,,,,5.0,,
52,136,5.0,1.0,,18.0,4.0,2.0
52,97,1.0,,,10.0,3.0,1.0
53,443,,,,27.0,5.0,
53,136,11.0,,,,,
53,81,,,,35.0,,
54,447,5.0,,29.0,11.0,6.0,
54,443,,,,16.0,5.0,
54,472,,,21.0,24.0,7.0,
54,180,4.0,,,22.0,14.0,
55,264,,,,11.0,2.0,3.0
55,299,2.0,3.0,,,9.0,1.0
55,244,,,,13.0,11.0,1.0
55,310,,1.0,,24.0,8.0,1.0
55,161,4.0,,36.0,19.0,3.0,2.0
55,442,,,,11.0,,
55,438,,,36.0,11.0,,
55,189,3.0,,,16.0,11.0,1.0
55,469,4.0,3.0,,17.0,11.0,
55,154,3.0,,,21.0,3.0,1.0
55,415,6.0,,,27.0,6.0,2.0
55,466,4.0,1.0,,16.0,5.0,
56,340,,,,25.0,,
56,281,,,,24.0,,
56,81,,,,,,
57,457,,,,33.0,,
57,53,,,,,5.0,
57,82,,6.0,,,,3.0
57,116,,,13.0,,4.0,
57,153,,,,17.0,,4.0
57,436,,,,18.0,6.0,
58,281,5.0,,,35.0,,
58,73,,6.0,,,8.0,
58,24,,,,14.0,14.0,
58,322,,,,16.0,9.0,
58,225,,,,24.0,,
59,48,7.0,,,19.0,,
59,398,7.0,,,21.0,,
59,85,,,,21.0,10.0,
59,445,,,,22.0,,
59,81,,2.0,,11.0,,
59,17,,,,18.0,,
59,174,,,,17.0,7.0,
60,58,,,,21.0,,
60,125,,,29.0,15.0,14.0,1.0
60,282,,,33.0,27.0,,
60,240,10.0,1.0,35.0,21.0,3.0,2.0
60,396,,,21.0,16.0,5.0,
60,340,,,26.0,19.0,,2.0
60,177,2.0,,22.0,14.0,5.0,1.0
61,170,,,,12.0,,
61,390,,,,14.0,,
61,65,7.0,,,30.0,6.0,
61,418,3.0,,,24.0,15.0,
61,382,6.0,,,19.0,,
61,291,6.0,,,14.0,5.0,
62,54,,1.0,37.0,25.0,15.0,1.0
62,497,2.0,,,18.0,9.0,2.0
62,281,5.0,,,27.0,2.0,6.0
62,136,11.0,,,10.0,,
62,189,,,,15.0,8.0,3.0
62,469,,,32.0,14.0,7.0,
62,415,6.0,,,18.0,4.0,2.0
62,154,3.0,,18.0,14.0,3.0,
63,281,,,,26.0,,
63,111,,,,10.0,,
63,81,,,,12.0,,
63,53,10.0,,,7.0,9.0,2.0
63,22,,,,15.0,,
63,238,,,19.0,11.0,10.0,
63,287,,4.0,,12.0,9.0,
63,308,,,,13.0,,
63,48,10.0,1.0,,20.0,11.0,1.0
63,398,,,,20.0,,1.0
63,367,,,,13.0,,
64,364,2.0,,,34.0,5.0,2.0
64,239,,,,14.0,,
64,187,5.0,,,17.0,9.0,5.0
64,523,8.0,,,13.0,17.0,
64,458,,,,16.0,10.0,
64,444,,,,20.0,,
65,3,,2.0,30.0,25.0,7.0,
65,209,,,,14.0,,
65,432,,,27.0,11.0,4.0,2.0
65,514,4.0,,,23.0,3.0,
65,128,,4.0,,37.0,13.0,
65,468,2.0,,,20.0,,2.0
65,402,,,,18.0,7.0,
66,266,,,,23.0,,
66,146,,,,6.0,,
66,245,,,,22.0,,
66,501,,,,19.0,15.0,
66,153,10.0,,,18.0,7.0,7.0
66,540,,,19.0,17.0,,
67,213,6.0,,,32.0,11.0,
67,316,4.0,,,29.0,6.0,
67,419,,3.0,,22.0,19.0,
68,418,,,23.0,19.0,,
68,319,,,26.0,11.0,5.0,
68,520,,,29.0,16.0,8.0,
68,317,1.0,,30.0,20.0,5.0,3.0
68,153,13.0,,34.0,29.0,11.0,
68,170,,,28.0,29.0,,
70,49,,,,13.0,10.0,
70,336,6.0,,,22.0,,
70,35,,,,19.0,,
70,89,,,,23.0,,
71,553,,,,15.0,7.0,
71,199,,,,17.0,,
71,7,9.0,,,24.0,,
71,315,7.0,,,16.0,,
71,418,4.0,,,28.0,16.0,
71,382,11.0,,,7.0,,
72,445,,,,10.0,,
72,526,,,,34.0,7.0,
72,81,10.0,,,17.0,,
72,174,,2.0,,23.0,16.0,2.0
72,58,,,,26.0,,
72,282,,,,14.0,,
72,240,9.0,,,23.0,,
73,174,,,31.0,15.0,13.0,
73,452,5.0,,,24.0,,
73,125,,,,7.0,18.0,
73,282,,,,25.0,7.0,
73,240,18.0,,,19.0,6.0,
73,351,,,,19.0,,
74,322,,,25.0,20.0,,
74,156,,,18.0,9.0,3.0,
74,331,10.0,,,14.0,,3.0
74,324,,,,20.0,,
74,138,12.0,,28.0,,,
74,149,,,18.0,8.0,8.0,
75,377,4.0,,,20.0,,
75,527,4.0,,,24.0,,
75,11,,,,15.0,4.0,
75,459,4.0,4.0,32.0,29.0,10.0,
75,53,11.0,,,15.0,,
75,200,10.0,,,13.0,,
76,35,,,36.0,36.0,,
77,62,5.0,1.0,36.0,33.0,6.0,2.0
77,266,,,,29.0,,
77,146,,,,20.0,,
77,175,6.0,1.0,41.0,30.0,4.0,2.0
77,212,5.0,,37.0,28.0,5.0,2.0
78,125,,,,,13.0,
78,240,14.0,,,,,
79,156,1.0,,,25.0,11.0,
79,119,5.0,,,19.0,5.0,
79,62,10.0,,,26.0,,
79,335,12.0,,,30.0,9.0,
79,504,,,,21.0,8.0,
80,2,,,25.0,22.0,5.0,2.0
80,345,,,,19.0,3.0,2.0
80,3,,,,16.0,,
80,412,5.0,,,16.0,,
80,288,,,,21.0,4.0,
80,10,6.0,,32.0,,,
80,468,3.0,,31.0,20.0,,1.0
80,554,,,,15.0,6.0,
80,50,,,26.0,18.0,4.0,
81,287,,,,11.0,10.0,
81,398,,,,21.0,,
81,316,,,,19.0,,
81,419,,,,,11.0,
81,145,,,,19.0,,
81,155,,,,20.0,,
82,336,2.0,,,31.0,4.0,3.0
82,398,2.0,,,17.0,,
82,107,,,,14.0,10.0,
82,367,,,20.0,23.0,,
83,250,2.0,,34.0,22.0,5.0,2.0
83,430,2.0,1.0,36.0,,,3.0
83,298,,,,11.0,,
83,49,,,,17.0,,
83,336,9.0,,35.0,19.0,2.0,1.0
83,448,,,27.0,13.0,11.0,
84,316,8.0,,,30.0,4.0,
84,81,5.0,,37.0,31.0,5.0,
85,293,,,,20.0,11.0,
85,53,14.0,,,16.0,5.0,
85,267,,,,19.0,,
86,151,,,,12.0,,
86,479,,,31.0,17.0,13.0,
86,449,,,,12.0,,
86,340,4.0,,34.0,27.0,3.0,
86,316,8.0,1.0,36.0,28.0,11.0,2.0
86,481,3.0,,,14.0,3.0,
86,145,4.0,,,20.0,3.0,
87,414,,,,,,
87,452,4.0,,,12.0,,
87,132,,,,,,2.0
87,110,1.0,,,,,1.0
87,46,,,,16.0,,
87,436,,,,5.0,,
87,180,,,,18.0,12.0,
87,368,2.0,,,15.0,2.0,3.0
87,56,7.0,,,19.0,,2.0
89,321,,3.0,,,16.0,
89,457,,,,34.0,,
89,159,,,24.0,14.0,6.0,
89,359,,,,17.0,,
89,527,,,,21.0,,
90,523,3.0,4.0,46.0,45.0,13.0,2.0
90,369,,,,10.0,,
90,444,,,,13.0,2.0,
90,43,,,31.0,16.0,10.0,
90,340,,2.0,,28.0,,
90,77,5.0,,,20.0,8.0,2.0
91,154,,,,20.0,1.0,
91,293,,1.0,,20.0,,1.0
91,415,8.0,,,19.0,9.0,1.0
91,56,,,,20.0,1.0,1.0
91,406,10.0,,,1.0,9.0,
91,266,,,,27.0,,
91,146,3.0,,,41.0,13.0,
91,237,,,,11.0,,
92,413,,,,16.0,,
92,404,,,,21.0,18.0,
92,368,,,,16.0,,
92,3,,,,27.0,5.0,
92,263,,,,11.0,,
92,270,,,,18.0,,
93,196,,,29.0,13.0,,4.0
93,448,,,,22.0,12.0,
93,49,5.0,,,18.0,6.0,
93,273,,,,11.0,,
93,336,,,,10.0,,
93,11,,,,20.0,4.0,
93,294,,,41.0,18.0,,
93,205,,,35.0,17.0,20.0,
94,421,,,,,,
94,125,2.0,3.0,34.0,14.0,22.0,
94,282,,,,,,
94,240,9.0,,,23.0,5.0,2.0
94,322,,,34.0,17.0,,
94,156,3.0,,34.0,10.0,14.0,
94,289,,,24.0,7.0,6.0,
94,119,,,,,,
94,24,,,,,,
94,15,,,,11.0,,
95,322,3.0,,,19.0,4.0,
95,135,5.0,,,40.0,9.0,2.0
95,549,12.0,,,16.0,4.0,
95,119,4.0,,,15.0,10.0,
95,447,4.0,,,33.0,6.0,
95,471,,4.0,,16.0,6.0,
96,175,5.0,2.0,,23.0,8.0,2.0
96,212,4.0,,,27.0,11.0,2.0
96,44,,4.0,,16.0,5.0,
96,322,3.0,4.0,,23.0,8.0,2.0
96,156,,,,19.0,11.0,
96,135,11.0,,,,12.0,
96,225,,,,18.0,,
97,553,,,,20.0,,
97,199,2.0,,,26.0,3.0,
97,490,2.0,,,8.0,6.0,2.0
97,317,,,,17.0,7.0,
97,168,,,,13.0,10.0,
97,153,,,,18.0,9.0,
97,170,3.0,,,18.0,,
98,514,,,,8.0,,1.0
98,118,2.0,2.0,,10.0,,1.0
98,128,5.0,2.0,,23.0,,
98,468,1.0,1.0,,28.0,,
98,485,5.0,,,5.0,3.0,2.0
98,402,,,,10.0,5.0,1.0
98,423,2.0,1.0,,13.0,10.0,4.0
98,413,1.0,1.0,,19.0,5.0,
98,403,3.0,2.0,,25.0,8.0,1.0
98,530,,,,8.0,,
98,57,,,,8.0,7.0,
99,199,3.0,,,15.0,5.0,1.0
99,553,2.0,,,19.0,6.0,
99,534,,,,23.0,9.0,
99,101,5.0,1.0,,8.0,2.0,3.0
99,75,7.0,,,20.0,1.0,2.0
99,473,1.0,,,11.0,2.0,1.0
99,389,,1.0,,6.0,9.0,
99,3,,,,27.0,7.0,
99,277,2.0,,,11.0,6.0,1.0
99,1,,,,,3.0,
99,395,2.0,,,10.0,2.0,
99,397,7.0,,,18.0,2.0,1.0
100,316,8.0,,,38.0,13.0,
100,155,,,,11.0,,
100,145,,,,43.0,,
100,369,3.0,,,,,
100,380,,,,11.0,,
100,523,,,37.0,27.0,9.0,
100,301,,,35.0,36.0,,
101,250,,,,,,
101,467,,,,17.0,9.0,
101,463,,,,13.0,,
101,312,,,,13.0,,
101,406,6.0,2.0,38.0,15.0,9.0,
101,158,4.0,,27.0,10.0,13.0,
101,266,,,,20.0,,
101,146,9.0,,,16.0,5.0,
102,158,,3.0,,16.0,8.0,
102,266,,,,7.0,,1.0
102,146,7.0,,,26.0,,1.0
102,3,,,,26.0,,
102,412,,,,,1.0,
103,445,,,,14.0,13.0,
103,174,,4.0,,20.0,13.0,
103,333,5.0,,,17.0,8.0,
103,137,7.0,,,24.0,,4.0
104,533,,,,10.0,6.0,
104,495,,,,15.0,10.0,
104,320,,,,17.0,,
104,68,,,,14.0,,
104,84,,,,10.0,,
104,414,,,,15.0,6.0,
104,452,,,,34.0,,
104,132,7.0,,,27.0,,
104,328,2.0,,,15.0,,
105,174,,,,5.0,12.0,
106,199,,,38.0,20.0,,
106,534,3.0,1.0,32.0,22.0,11.0,1.0
106,7,6.0,,37.0,23.0,4.0,1.0
106,250,4.0,1.0,40.0,26.0,6.0,
106,494,2.0,,,18.0,2.0,
106,467,,1.0,28.0,11.0,,1.0
107,358,,3.0,,20.0,4.0,
107,321,,,,11.0,,
107,364,5.0,,,14.0,,
107,132,5.0,,,14.0,,
107,418,,5.0,,34.0,9.0,
107,382,7.0,3.0,,30.0,,
107,16,,,,12.0,4.0,4.0
108,35,1.0,1.0,28.0,18.0,,
108,456,1.0,1.0,,,,
108,147,6.0,,,23.0,3.0,
108,459,,,,,10.0,
108,53,18.0,,,7.0,8.0,
109,189,,,,10.0,,
109,155,,,,3.0,,
109,469,,,,10.0,,
109,154,,,,7.0,,
109,293,,,21.0,10.0,7.0,
109,58,7.0,,39.0,28.0,13.0,
109,125,,,,15.0,14.0,
109,547,,,,32.0,,
109,207,,,,5.0,4.0,
110,406,8.0,1.0,,37.0,9.0,1.0
110,266,,1.0,,35.0,,1.0
110,511,10.0,,,5.0,,
110,453,,,,10.0,,
110,82,,,,23.0,10.0,
110,381,,,,,,
112,218,,,12.0,,,
112,292,,,,,,
112,460,,,,,,
113,526,,,,24.0,7.0,
113,81,4.0,,,8.0,5.0,
113,250,,,,34.0,,
113,430,4.0,4.0,,,,
113,475,3.0,2.0,31.0,14.0,4.0,2.0
114,62,9.0,,33.0,29.0,6.0,
114,266,,,33.0,18.0,,
114,146,,,,24.0,,3.0
114,360,,,38.0,20.0,,
114,206,,,,11.0,,
114,390,,,,13.0,,
115,24,,,24.0,10.0,12.0,
115,225,2.0,,,9.0,,
115,322,,,31.0,21.0,9.0,
115,108,,,,15.0,,
115,404,,3.0,34.0,19.0,,
115,96,,,,15.0,,
116,49,7.0,,,22.0,6.0,
116,336,,,,21.0,,
116,362,11.0,,,19.0,14.0,
116,372,,,,20.0,,
117,370,,,,8.0,,
117,137,,,,8.0,,
117,381,,,,,,
117,58,5.0,1.0,,22.0,13.0,2.0
117,240,7.0,,,19.0,,
117,351,1.0,,,12.0,8.0,
118,160,3.0,,,17.0,9.0,3.0
118,153,10.0,,,14.0,,
118,170,4.0,,,17.0,3.0,
118,293,7.0,,,18.0,6.0,
118,272,,,,16.0,12.0,
118,142,,,,19.0,,
119,227,,,,10.0,4.0,
119,448,1.0,,34.0,13.0,10.0,1.0
119,49,6.0,1.0,,18.0,12.0,1.0
119,336,5.0,,,13.0,,
119,553,,,33.0,14.0,3.0,
119,266,5.0,,,21.0,4.0,
119,146,5.0,,33.0,18.0,7.0,6.0
119,245,3.0,,25.0,16.0,3.0,
120,89,,3.0,39.0,32.0,9.0,
120,506,,,30.0,4.0,,
120,199,,,,,,
120,448,,,,,15.0,
120,49,6.0,,,,,
120,273,,,,17.0,,
120,186,,,,17.0,,
120,227,,,,17.0,,
121,381,,,,50.0,,
121,244,,,,38.0,,
122,35,4.0,,,29.0,,
123,534,2.0,,25.0,8.0,,
124,135,8.0,,,22.0,13.0,
124,42,4.0,,,28.0,,3.0
124,119,8.0,,,24.0,7.0,
124,317,3.0,,,14.0,,
124,168,4.0,,,12.0,9.0,
124,160,3.0,,,14.0,,
124,153,11.0,,,39.0,7.0,4.0
124,170,3.0,,,18.0,,
125,416,,,,10.0,,
125,54,,,,13.0,16.0,
125,497,,,23.0,6.0,7.0,
125,281,6.0,,,20.0,8.0,3.0
125,136,,,,20.0,,
125,111,2.0,,,,,
125,188,,,,19.0,,
125,534,,1.0,,24.0,7.0,
125,321,,,,10.0,12.0,
125,457,4.0,,,17.0,2.0,
125,53,4.0,,27.0,6.0,,
126,418,,2.0,,43.0,10.0,
126,170,,,,16.0,,
126,538,6.0,,27.0,13.0,,
126,193,,,,11.0,,
126,175,4.0,3.0,37.0,29.0,5.0,3.0
126,215,,,40.0,17.0,,
