game_id,_index_team,Losses,Total points,Points in 4th quarter,Wins
100,22,27.0,130.0,,34.0
100,19,,135.0,,
101,8,1.0,103.0,,27.0
101,13,15.0,85.0,,12.0
102,16,33.0,110.0,,25.0
102,8,12.0,108.0,,46.0
103,23,36.0,110.0,,41.0
103,0,32.0,93.0,,44.0
104,18,8.0,116.0,,11.0
104,12,11.0,99.0,,7.0
105,21,1.0,97.0,,6.0
105,0,4.0,85.0,,2.0
106,13,41.0,92.0,,40.0
106,26,39.0,101.0,,42.0
107,18,,,,
108,7,32.0,92.0,,24.0
108,1,9.0,108.0,,48.0
109,6,9.0,103.0,,11.0
109,9,9.0,101.0,,11.0
110,23,,120.0,,
110,8,1.0,108.0,,2.0
111,17,,,,
112,12,33.0,93.0,,20.0
112,1,19.0,95.0,,33.0
113,13,20.0,98.0,,16.0
113,0,,83.0,,
114,14,9.0,85.0,,8.0
114,8,2.0,109.0,29.0,14.0
115,20,2.0,103.0,,4.0
115,11,3.0,86.0,,2.0
116,14,,,,
117,6,1.0,111.0,,7.0
117,23,4.0,80.0,,5.0
118,9,22.0,93.0,18.0,16.0
118,5,9.0,100.0,,29.0
119,8,2.0,98.0,,3.0
119,2,3.0,78.0,,2.0
120,2,11.0,102.0,,29.0
120,23,11.0,98.0,,30.0
121,25,19.0,117.0,,41.0
121,23,30.0,115.0,,33.0
124,5,22.0,125.0,,49.0
124,11,37.0,124.0,,33.0
125,26,14.0,98.0,,30.0
125,15,16.0,102.0,,29.0
126,4,30.0,103.0,,33.0
126,3,29.0,114.0,,35.0
127,0,6.0,93.0,,6.0
127,6,4.0,110.0,,7.0
128,28,30.0,107.0,,41.0
128,9,41.0,96.0,,29.0
129,27,8.0,109.0,,3.0
129,11,7.0,93.0,,2.0
130,5,3.0,91.0,,11.0
130,27,11.0,86.0,,4.0
131,7,36.0,96.0,,20.0
131,1,23.0,107.0,,35.0
132,4,31.0,95.0,,25.0
132,13,22.0,109.0,,36.0
133,8,,122.0,,
133,9,45.0,92.0,,24.0
134,22,17.0,101.0,,22.0
134,28,15.0,103.0,25.0,25.0
135,22,,94.0,,
135,20,,106.0,,1.0
136,2,20.0,108.0,,26.0
136,9,23.0,102.0,,20.0
137,16,44.0,110.0,,9.0
137,24,21.0,114.0,,31.0
138,0,,,,
138,4,,,,
139,15,8.0,,,14.0
139,23,6.0,,,17.0
140,6,16.0,120.0,,32.0
140,15,20.0,93.0,,26.0
141,0,33.0,91.0,,25.0
141,22,12.0,93.0,,47.0
142,23,3.0,97.0,,
142,16,,87.0,,4.0
143,3,3.0,109.0,,4.0
143,14,7.0,102.0,,1.0
144,0,3.0,92.0,,6.0
144,13,4.0,91.0,,4.0
145,9,,101.0,,
145,14,7.0,99.0,,1.0
146,6,,105.0,,4.0
146,5,3.0,109.0,,4.0
147,10,34.0,103.0,,18.0
147,1,12.0,111.0,,40.0
148,3,38.0,98.0,,24.0
148,1,,101.0,,
149,12,34.0,118.0,32.0,29.0
149,9,44.0,86.0,,21.0
151,24,14.0,117.0,,12.0
151,6,8.0,110.0,,20.0
152,23,11.0,98.0,,31.0
152,7,25.0,94.0,,16.0
153,22,,,,19.0
154,29,28.0,118.0,,36.0
154,20,32.0,103.0,,33.0
156,15,34.0,94.0,,31.0
156,5,21.0,115.0,,45.0
157,4,22.0,98.0,23.0,14.0
157,1,6.0,123.0,,30.0
158,16,,111.0,,
158,22,19.0,114.0,20.0,59.0
159,15,12.0,102.0,25.0,18.0
159,12,13.0,100.0,,18.0
160,14,27.0,75.0,,12.0
160,0,21.0,78.0,,17.0
161,29,20.0,107.0,,18.0
161,22,16.0,84.0,,23.0
162,20,15.0,96.0,,3.0
162,14,13.0,106.0,,5.0
163,2,17.0,82.0,,42.0
163,13,35.0,93.0,,24.0
164,8,9.0,,,50.0
165,18,51.0,119.0,,20.0
165,14,56.0,107.0,,15.0
166,21,8.0,104.0,,
166,13,12.0,98.0,,10.0
167,29,39.0,98.0,,30.0
167,24,27.0,93.0,,42.0
168,6,19.0,119.0,,36.0
168,1,20.0,115.0,,34.0
169,1,,,,
170,28,5.0,90.0,,6.0
170,26,8.0,83.0,,2.0
171,14,24.0,89.0,,12.0
171,26,23.0,101.0,,10.0
172,18,12.0,103.0,,12.0
172,20,19.0,105.0,,4.0
173,25,13.0,122.0,,24.0
173,5,9.0,129.0,,30.0
174,6,5.0,121.0,,15.0
174,18,10.0,120.0,,12.0
175,2,,93.0,,
175,3,2.0,81.0,,1.0
176,19,7.0,105.0,,13.0
176,25,6.0,101.0,,16.0
177,18,51.0,97.0,,19.0
177,2,30.0,103.0,,41.0
178,22,27.0,92.0,,31.0
178,8,5.0,102.0,,50.0
179,13,,95.0,,
179,22,,68.0,,
180,11,50.0,143.0,,29.0
180,26,31.0,144.0,,48.0
181,19,20.0,106.0,,23.0
181,13,28.0,92.0,,14.0
182,19,,128.0,,4.0
182,5,2.0,120.0,,2.0
183,12,,,23.0,
183,20,,,,23.0
184,4,17.0,91.0,23.0,17.0
184,12,21.0,94.0,28.0,13.0
185,0,32.0,113.0,,27.0
185,12,29.0,95.0,,30.0
186,24,18.0,101.0,,19.0
186,15,20.0,99.0,,19.0
187,22,3.0,100.0,18.0,4.0
187,13,6.0,97.0,9.0,3.0
188,15,1.0,98.0,29.0,3.0
188,9,4.0,90.0,21.0,0.0
189,20,33.0,87.0,,21.0
189,1,19.0,104.0,,34.0
190,8,7.0,111.0,,36.0
190,15,17.0,113.0,,30.0
191,21,21.0,96.0,,44.0
191,17,45.0,99.0,,21.0
193,17,11.0,103.0,,8.0
193,23,12.0,109.0,,9.0
194,12,6.0,103.0,,6.0
194,19,2.0,93.0,,9.0
195,20,4.0,96.0,17.0,2.0
195,13,4.0,97.0,23.0,3.0
196,17,,79.0,,
196,6,27.0,99.0,,47.0
197,21,8.0,126.0,,12.0
197,24,11.0,115.0,21.0,6.0
198,11,10.0,80.0,,6.0
198,1,3.0,91.0,,13.0
200,18,20.0,106.0,26.0,27.0
200,24,16.0,98.0,32.0,31.0
201,7,,,,2.0
201,17,2.0,,,
202,17,37.0,102.0,,16.0
202,3,32.0,116.0,,19.0
203,12,33.0,91.0,,37.0
203,10,62.0,75.0,,9.0
204,27,59.0,92.0,,14.0
204,28,40.0,96.0,,32.0
205,20,35.0,83.0,,33.0
205,13,25.0,97.0,,43.0
206,24,1.0,96.0,,4.0
206,12,4.0,94.0,,1.0
207,23,10.0,108.0,,7.0
207,14,13.0,96.0,,2.0
208,5,9.0,121.0,,31.0
208,29,19.0,114.0,,20.0
209,16,4.0,119.0,,3.0
209,17,5.0,110.0,,1.0
210,21,,95.0,,
210,8,14.0,111.0,,56.0
212,8,14.0,114.0,,58.0
212,7,45.0,100.0,,27.0
213,4,40.0,85.0,,30.0
213,13,36.0,94.0,,34.0
215,15,23.0,86.0,17.0,37.0
215,6,21.0,96.0,,39.0
216,4,10.0,105.0,,10.0
216,26,5.0,107.0,,15.0
217,11,38.0,120.0,,24.0
217,16,44.0,121.0,,18.0
218,5,1.0,,,
219,28,,,,
219,1,3.0,,,
220,12,9.0,91.0,,9.0
220,6,4.0,70.0,,14.0
221,22,1.0,106.0,,1.0
221,24,1.0,90.0,,1.0
222,2,12.0,85.0,,35.0
222,21,24.0,74.0,12.0,23.0
223,1,6.0,101.0,,27.0
223,17,20.0,95.0,,11.0
224,18,3.0,100.0,,0.0
224,8,1.0,106.0,,2.0
225,20,1.0,82.0,,3.0
225,12,3.0,94.0,,1.0
226,21,11.0,92.0,,3.0
226,16,7.0,94.0,,5.0
227,3,27.0,116.0,,16.0
227,4,27.0,99.0,,19.0
228,23,22.0,78.0,26.0,15.0
228,2,17.0,91.0,,19.0
229,1,13.0,114.0,,50.0
229,7,39.0,104.0,,25.0
230,19,9.0,104.0,,22.0
230,9,15.0,79.0,,19.0
231,26,8.0,98.0,,17.0
231,8,2.0,105.0,,20.0
232,13,21.0,104.0,,34.0
232,28,19.0,112.0,,35.0
233,1,8.0,110.0,,41.0
233,3,30.0,97.0,,18.0
234,8,3.0,127.0,,16.0
234,5,7.0,132.0,,12.0
235,12,34.0,94.0,,25.0
235,10,46.0,74.0,,13.0
236,19,20.0,108.0,25.0,25.0
236,21,22.0,98.0,20.0,22.0
237,4,33.0,102.0,,32.0
237,17,38.0,95.0,,27.0
238,16,40.0,114.0,,35.0
238,25,31.0,109.0,,45.0
239,3,10.0,121.0,,4.0
239,29,4.0,116.0,,8.0
240,22,8.0,113.0,,38.0
240,16,27.0,102.0,,18.0
241,25,,106.0,,
241,12,,99.0,,
242,27,24.0,107.0,,18.0
242,22,17.0,108.0,,24.0
243,2,19.0,101.0,,24.0
243,3,27.0,99.0,23.0,13.0
244,21,13.0,117.0,,38.0
244,9,27.0,114.0,,21.0
245,24,6.0,104.0,,16.0
245,6,6.0,96.0,,16.0
246,13,9.0,122.0,,9.0
246,12,7.0,119.0,,12.0
247,12,9.0,104.0,,16.0
247,16,19.0,97.0,,7.0
248,29,26.0,108.0,,25.0
248,24,27.0,104.0,,22.0
249,10,45.0,110.0,,8.0
249,7,31.0,114.0,,22.0
250,26,31.0,107.0,,47.0
250,18,40.0,104.0,,39.0
251,16,40.0,90.0,,14.0
251,2,22.0,109.0,20.0,31.0
252,24,5.0,107.0,,11.0
252,0,8.0,86.0,,9.0
253,2,,,,
254,12,34.0,104.0,,39.0
254,5,38.0,101.0,,36.0
256,17,1.0,101.0,,2.0
256,23,2.0,106.0,,2.0
257,18,1.0,94.0,,0.0
257,7,,113.0,,1.0
258,28,23.0,139.0,,32.0
258,6,18.0,134.0,,35.0
259,1,16.0,110.0,19.0,25.0
259,23,10.0,96.0,,30.0
260,15,12.0,117.0,,21.0
260,4,23.0,106.0,,14.0
261,29,,,22.0,
262,22,9.0,100.0,,13.0
262,14,16.0,87.0,,3.0
263,29,30.0,93.0,,39.0
263,11,41.0,101.0,,29.0
264,16,9.0,,,6.0
264,15,6.0,,,11.0
265,5,,,,
265,18,,,,
266,2,,,,
266,16,,,,
268,28,19.0,117.0,21.0,21.0
268,18,28.0,103.0,,13.0
269,0,,,,
269,14,,,27.0,
270,24,16.0,111.0,,15.0
270,12,18.0,105.0,,15.0
271,14,,,,
271,15,5.0,,,
272,8,2.0,105.0,,16.0
272,22,8.0,100.0,,10.0
273,21,7.0,89.0,,3.0
273,20,6.0,96.0,,3.0
275,10,63.0,97.0,,18.0
275,4,40.0,107.0,,41.0
276,2,4.0,103.0,21.0,16.0
276,0,11.0,87.0,12.0,9.0
277,1,,,,
278,7,17.0,135.0,,13.0
278,27,27.0,129.0,,5.0
279,2,18.0,91.0,24.0,20.0
279,11,24.0,84.0,,13.0
280,16,28.0,110.0,,11.0
280,27,21.0,104.0,,20.0
281,28,18.0,107.0,,33.0
281,6,20.0,102.0,,31.0
282,29,33.0,103.0,,27.0
282,25,24.0,94.0,,38.0
283,13,8.0,103.0,,8.0
283,8,,106.0,,
284,20,33.0,106.0,,32.0
284,19,21.0,101.0,,42.0
285,4,30.0,114.0,30.0,22.0
285,14,37.0,122.0,,19.0
286,23,,,,
286,17,,,,
287,27,,,,
288,8,,,,
288,20,,,,18.0
289,10,20.0,108.0,,7.0
289,16,19.0,107.0,,7.0
291,1,11.0,101.0,,36.0
291,26,30.0,105.0,,17.0
292,18,16.0,125.0,,20.0
292,25,10.0,109.0,,24.0
293,21,,,,
295,29,26.0,108.0,,26.0
295,15,24.0,91.0,,27.0
296,7,37.0,109.0,16.0,25.0
296,13,24.0,110.0,28.0,39.0
297,24,18.0,88.0,,31.0
297,29,27.0,92.0,,21.0
298,18,59.0,114.0,,23.0
298,6,29.0,105.0,,53.0
299,3,35.0,99.0,,23.0
299,5,18.0,129.0,,41.0
300,4,13.0,90.0,,9.0
300,23,13.0,88.0,,9.0
301,7,,88.0,,
301,17,36.0,102.0,,24.0
302,21,12.0,113.0,,29.0
302,17,29.0,93.0,,12.0
303,4,18.0,113.0,,12.0
303,10,30.0,100.0,,1.0
304,4,29.0,88.0,,22.0
304,0,30.0,106.0,,23.0
305,20,8.0,93.0,,3.0
305,9,7.0,107.0,,5.0
306,16,15.0,110.0,,6.0
306,5,12.0,105.0,,10.0
307,21,22.0,113.0,,50.0
307,13,37.0,91.0,,35.0
308,2,,,,
309,26,,86.0,,
309,25,29.0,94.0,,44.0
310,6,20.0,103.0,,40.0
310,21,19.0,98.0,,42.0
311,0,,,,
312,21,30.0,122.0,,41.0
312,10,,97.0,,
314,4,,,,
315,0,26.0,108.0,,35.0
315,18,46.0,92.0,,15.0
316,4,15.0,101.0,,14.0
316,29,19.0,108.0,,10.0
317,16,33.0,116.0,,12.0
317,21,13.0,106.0,,33.0
318,14,14.0,103.0,,2.0
318,12,5.0,107.0,,11.0
319,2,35.0,95.0,,41.0
319,25,24.0,99.0,,51.0
320,21,12.0,108.0,,28.0
320,26,18.0,89.0,,22.0
321,0,14.0,90.0,,21.0
321,27,19.0,98.0,,18.0
322,6,,88.0,,
322,13,2.0,75.0,,1.0
323,0,24.0,101.0,,32.0
323,12,26.0,93.0,,30.0
324,17,,,,
325,16,24.0,90.0,,17.0
325,24,13.0,99.0,22.0,28.0
326,3,,93.0,,
326,28,,111.0,,
327,1,7.0,130.0,,39.0
327,5,23.0,99.0,,25.0
328,20,9.0,102.0,,11.0
328,4,13.0,95.0,,7.0
329,28,2.0,87.0,,1.0
329,1,,95.0,,2.0
331,10,,,,
332,28,1.0,107.0,,3.0
332,15,1.0,100.0,,3.0
333,9,6.0,,,6.0
334,14,,113.0,,
334,21,11.0,117.0,,26.0
335,6,14.0,103.0,,26.0
335,7,23.0,110.0,,17.0
336,23,36.0,105.0,,39.0
336,7,45.0,93.0,30.0,29.0
337,4,,115.0,,
337,23,,107.0,,
338,20,32.0,101.0,,20.0
338,17,40.0,112.0,,11.0
339,16,41.0,97.0,23.0,9.0
339,12,22.0,106.0,,27.0
340,12,,,,
340,2,,,,
341,0,30.0,116.0,,20.0
341,22,21.0,93.0,,28.0
342,26,3.0,107.0,,3.0
342,3,6.0,98.0,,0.0
344,28,,,,
344,10,,,,
346,10,56.0,95.0,,9.0
346,16,47.0,89.0,,18.0
347,9,39.0,89.0,,17.0
347,27,43.0,83.0,,10.0
348,21,22.0,100.0,,28.0
348,15,25.0,128.0,,25.0
349,26,2.0,91.0,18.0,2.0
349,25,,102.0,28.0,4.0
350,24,8.0,119.0,,3.0
350,27,7.0,112.0,,5.0
351,15,30.0,108.0,,31.0
351,5,32.0,100.0,,30.0
352,29,,100.0,,
352,12,,88.0,,
353,28,27.0,98.0,,39.0
353,5,32.0,102.0,,33.0
354,22,12.0,106.0,,18.0
354,23,19.0,97.0,39.0,11.0
355,0,,,27.0,
355,29,,,15.0,
356,13,34.0,92.0,,20.0
356,23,18.0,76.0,,36.0
357,11,45.0,107.0,,28.0
357,13,41.0,91.0,,31.0
358,20,3.0,98.0,23.0,1.0
358,27,3.0,95.0,,2.0
359,19,,113.0,,
359,28,,100.0,,
360,26,15.0,117.0,,20.0
360,7,21.0,116.0,,14.0
361,26,9.0,102.0,39.0,20.0
361,22,7.0,105.0,23.0,20.0
362,22,8.0,110.0,,35.0
362,12,29.0,91.0,,15.0
364,6,23.0,124.0,,36.0
364,29,34.0,121.0,,25.0
365,18,32.0,112.0,,15.0
365,11,25.0,123.0,,21.0
366,22,9.0,105.0,,41.0
366,24,19.0,96.0,,31.0
367,18,,,23.0,
368,15,29.0,105.0,,27.0
368,25,24.0,94.0,,32.0
369,16,,107.0,25.0,
369,7,,99.0,,
370,6,26.0,112.0,37.0,40.0
370,10,42.0,100.0,21.0,23.0
371,0,4.0,96.0,,8.0
371,10,14.0,91.0,,0.0
372,8,,97.0,,2.0
372,3,2.0,87.0,,0.0
373,21,19.0,,,18.0
373,13,24.0,,,13.0
374,9,,,,
374,26,,,,
375,27,32.0,108.0,,23.0
375,24,27.0,111.0,28.0,23.0
376,19,14.0,107.0,,32.0
376,21,20.0,91.0,,28.0
377,28,1.0,103.0,,1.0
377,25,,113.0,,
378,0,34.0,104.0,,32.0
378,25,28.0,89.0,,38.0
380,19,,,,
380,5,,,,
381,11,1.0,78.0,15.0,1.0
381,17,,95.0,,
382,27,57.0,82.0,,14.0
382,2,21.0,103.0,,50.0
383,3,,,,
383,10,,,,
384,13,,96.0,,
384,14,,89.0,,
385,7,10.0,101.0,33.0,11.0
385,13,16.0,92.0,24.0,5.0
386,15,,,,
386,12,,,,
387,22,8.0,91.0,,40.0
387,10,38.0,85.0,,10.0
388,9,46.0,107.0,22.0,35.0
388,4,48.0,98.0,,33.0
389,11,37.0,117.0,,24.0
389,14,50.0,107.0,,12.0
390,6,7.0,80.0,,6.0
390,25,6.0,91.0,,9.0
392,15,9.0,110.0,,11.0
392,23,10.0,112.0,,12.0
393,17,5.0,101.0,,2.0
393,5,1.0,113.0,,7.0
394,9,15.0,89.0,,9.0
394,24,6.0,91.0,,15.0
395,28,15.0,,,
395,29,,,,
396,27,15.0,93.0,29.0,4.0
396,16,9.0,98.0,21.0,7.0
397,19,,105.0,,
397,9,3.0,99.0,,0.0
399,3,,99.0,,
399,0,29.0,113.0,,41.0
400,6,,,,
401,13,28.0,108.0,,44.0
401,27,44.0,101.0,,27.0
402,16,35.0,100.0,,25.0
402,18,30.0,108.0,,33.0
403,11,23.0,140.0,,15.0
403,12,19.0,112.0,,20.0
404,11,8.0,105.0,,5.0
404,13,8.0,91.0,,7.0
405,0,39.0,109.0,,34.0
405,20,45.0,102.0,,28.0
406,19,2.0,104.0,,10.0
406,20,7.0,81.0,,6.0
407,4,,137.0,,
408,7,24.0,118.0,,16.0
408,21,17.0,122.0,,25.0
409,19,,,,
409,2,,,,
410,5,,,,
411,7,45.0,107.0,,25.0
411,10,54.0,106.0,,17.0
412,19,,,,
413,18,42.0,120.0,,19.0
413,29,35.0,103.0,,26.0
414,8,,,,
415,10,61.0,90.0,,18.0
415,24,33.0,119.0,,45.0
416,0,23.0,93.0,,29.0
416,6,17.0,100.0,,34.0
417,2,9.0,95.0,,12.0
417,18,13.0,93.0,,8.0
418,11,30.0,132.0,25.0,25.0
418,8,9.0,110.0,,46.0
419,19,1.0,106.0,,6.0
419,22,2.0,110.0,,5.0
420,20,28.0,121.0,,25.0
420,14,37.0,102.0,,18.0
421,6,,,37.0,
421,10,,,21.0,
422,1,8.0,106.0,,43.0
422,14,42.0,102.0,,11.0
424,28,,121.0,,
424,16,1.0,105.0,,0.0
425,10,,,,
425,25,,,31.0,
426,4,7.0,93.0,24.0,6.0
426,9,8.0,89.0,15.0,6.0
427,12,12.0,110.0,,13.0
427,29,11.0,94.0,,14.0
428,9,13.0,100.0,,19.0
428,16,23.0,93.0,,9.0
429,25,3.0,102.0,,13.0
429,26,5.0,106.0,,12.0
430,14,46.0,93.0,16.0,16.0
430,26,24.0,100.0,25.0,41.0
431,14,8.0,80.0,,1.0
431,1,3.0,93.0,,5.0
432,25,,,32.0,
432,29,,,10.0,
433,27,10.0,91.0,,4.0
433,10,13.0,83.0,,0.0
434,28,4.0,91.0,,3.0
434,12,4.0,102.0,,5.0
435,26,22.0,91.0,,27.0
435,16,35.0,79.0,,12.0
436,7,15.0,107.0,,10.0
436,5,14.0,97.0,,12.0
437,19,9.0,97.0,,14.0
437,29,18.0,88.0,,6.0
438,6,,,,
438,1,,,,
440,25,13.0,94.0,,20.0
440,24,16.0,91.0,,14.0
441,24,14.0,109.0,22.0,10.0
441,29,12.0,106.0,29.0,14.0
442,7,53.0,102.0,27.0,28.0
442,14,60.0,92.0,18.0,21.0
443,15,38.0,117.0,,34.0
443,20,38.0,95.0,,34.0
444,21,,,,
445,17,19.0,115.0,,8.0
445,18,20.0,108.0,21.0,8.0
446,0,4.0,116.0,,7.0
446,7,9.0,109.0,,4.0
447,16,51.0,104.0,,20.0
447,19,21.0,95.0,,51.0
448,20,,,,
449,11,35.0,113.0,,29.0
449,24,24.0,123.0,,39.0
450,26,22.0,94.0,,39.0
450,16,33.0,104.0,,24.0
451,25,18.0,114.0,,38.0
451,17,40.0,105.0,,18.0
452,23,32.0,121.0,,35.0
452,9,37.0,84.0,,28.0
453,20,22.0,106.0,,25.0
453,19,12.0,114.0,,33.0
454,29,22.0,99.0,,23.0
454,24,20.0,109.0,,24.0
455,22,,,,
455,24,,,,
456,25,9.0,97.0,,14.0
456,1,5.0,94.0,,18.0
457,1,2.0,114.0,,4.0
457,29,4.0,94.0,,2.0
458,21,22.0,92.0,,23.0
458,17,37.0,84.0,,7.0
459,3,32.0,111.0,,20.0
459,18,36.0,106.0,,16.0
460,5,,,,
460,18,,,,
461,28,,,,
462,2,8.0,101.0,19.0,9.0
462,22,7.0,116.0,31.0,11.0
463,13,,,,
464,25,1.0,96.0,,
464,0,,102.0,,1.0
465,8,1.0,128.0,,25.0
465,18,16.0,103.0,,11.0
466,11,,,,
466,22,,,27.0,
467,3,27.0,114.0,,14.0
467,17,30.0,99.0,,13.0
468,27,43.0,106.0,,30.0
468,15,35.0,94.0,,36.0
469,20,11.0,102.0,,12.0
469,15,10.0,91.0,,11.0
470,10,12.0,96.0,,0.0
470,18,5.0,122.0,,8.0
471,0,12.0,104.0,,5.0
471,28,7.0,112.0,,10.0
473,9,34.0,84.0,,27.0
473,18,46.0,102.0,,16.0
474,10,,,,1.0
475,29,24.0,87.0,,10.0
475,19,14.0,91.0,,19.0
476,13,10.0,106.0,,10.0
476,27,13.0,85.0,,10.0
477,3,,115.0,,
477,22,1.0,121.0,,6.0
478,10,,84.0,,
478,13,3.0,109.0,,5.0
479,21,8.0,106.0,,10.0
479,20,10.0,88.0,,8.0
480,3,10.0,113.0,,3.0
480,23,7.0,101.0,,7.0
481,16,,,,
482,21,12.0,105.0,,5.0
482,27,13.0,78.0,,4.0
483,1,,,,
484,11,22.0,105.0,,18.0
484,17,32.0,113.0,,7.0
485,19,4.0,94.0,,13.0
485,6,5.0,113.0,,15.0
486,6,26.0,110.0,,55.0
486,11,51.0,103.0,,30.0
487,29,13.0,89.0,,15.0
